split,category,value,count
test,subject,carbon-nitrogen cycling nitrogen,31
test,subject,carbon-nitrogen cycling photosynthesis,42
test,subject,carbon-nitrogen cycling respiration,10
test,subject,carbon-nitrogen cycling soil carbon,53
test,subject,carbon-nitrogen cycling stress,14
test,subject,carbon-nitrogen cycling water,11
test,subject,Dry matter partitioning,79
test,subject,Leaf area growth,53
test,subject,Methane,127
test,subject,Nitrogen,7
test,subject,Phenology,68
test,subject,Photosynthesis,62
test,subject,Respiration,40
test,subject,environmental-response formula system,103
test,subject,Temperature response,14
test,subject,Temperature stress,27
test,subject,Yield formation,10
test,mode,branch,99
test,mode,chain_2,99
test,mode,direct,272
test,mode,sensitivity,281
test,math_type,Beta temperature response,27
test,math_type,Biomass-weighted allocation,11
test,math_type,Chained multiplicative decomposition,14
test,math_type,Chained sum,14
test,math_type,Double logistic,16
test,math_type,Exponential growth,16
test,math_type,Exponential quadratic,5
test,math_type,Exponential ratio,14
test,math_type,Exponential saturation,12
test,math_type,Linear,23
test,math_type,Linear decline,8
test,math_type,Logarithmic,13
test,math_type,Logarithmic minimum,15
test,math_type,Logistic,10
test,math_type,Maximum linear,22
test,math_type,Maximum with chained drivers,12
test,math_type,Michaelis-Menten response,14
test,math_type,Minimum stress multiplier,15
test,math_type,Multi-step sigmoid,15
test,math_type,Multiplicative,28
test,math_type,Multiplicative conversion,8
test,math_type,Multiplicative minimum stress,15
test,math_type,Multiplicative with minimum stress,12
test,math_type,Piecewise exponential,30
test,math_type,Piecewise exponential decay,12
test,math_type,Piecewise linear,14
test,math_type,Piecewise linear cap,14
test,math_type,Piecewise linear stress,13
test,math_type,Piecewise linear/exponential,17
test,math_type,Piecewise logistic,15
test,math_type,Piecewise minimum,20
test,math_type,Piecewise polynomial,14
test,math_type,Piecewise power penalty,12
test,math_type,Piecewise quadratic,22
test,math_type,Piecewise trigonometric,14
test,math_type,Piecewise water response,11
test,math_type,Power attenuation,10
test,math_type,Power product,10
test,math_type,Power response,13
test,math_type,Product,32
test,math_type,Product with Q10 temperature response,14
test,math_type,Product with exponential saturation,10
test,math_type,Q10 temperature response,13
test,math_type,Q10 with DVI correction,10
test,math_type,Q10 with temperature clipping,13
test,math_type,Quadratic polynomial,10
test,math_type,Ratio,17
test,math_type,Residual from shoot partitioning,12
test,math_type,Residual with piecewise components,15
test,math_type,Stage-dependent product,12
test,math_type,Subtraction and conversion,13
test,level,1,153
test,level,2,270
test,level,3,190
test,level,4,138
